recid,Code,Shipping Line
1,11AA,ACL (ADVANCE CONTAINER LINE)
2,12AT,IAL (INTERASIA LINE)
3,11AB,WAN HAI LINES
4,13BD,SAMUDERA
5,EGLV,EVER GREEN LINE
6,HJSC,HANJIN SHIPPING
7,YMLU,YANG MING (S) PTE LTD
8,11AC,CHINA SHIPPING
9,12WW,RCL (REGIONAL CONTAINER LINE)
10,11AD,CMA - CGM
11,MOLU,MOSK (MITSUI O.S.K LINES)
12,OOLU,OOCL(ORIENT OVERSEA CONTAINER LINE)
13,MCPU,MCC TRANSPORT(SGP)PTE LTD
14,CVAU,CONTINENTAL SHIPPING LINE
15,11TP,MFSL
16,11AE,VASI SHIPPING PTE LTD
17,11AF,THE SHIPPING CO-OPORATIVE OF INDIA LTD
18,11AG,LAND & SEA INTERMODAL LOGISTICS
19,11AH,TCI SEAWAYS
20,11AJ,TRANS OFFSHORE LOGISTICS PTE LTD
21,ECLR,ECL (EASTERN CAR LINER LTD)
22,11AK,MYT
23,12SC,OCEAN TANKER
24,11AL,"HERVILIAN SHIPPING PRIVATE CO.,LTD"
25,32KR,SEALS LINES
26,MAEU,MAERSK LINE
27,31KH,"COSCO SHIPPING CO., LTD."
28,11AM,"BAY LINE SHIPPING PTE., LTD."
29,11AN,TRUMPS VESSEL LINE
30,11AP,"BEN LINE AGENCIES(SGP) PTE., LTD."
31,11AQ,R K SHIPPING
32,TOKU,TOKO KAIUN KAISHA LTD.
33,NYKS,NYK SHIPPING LINE
34,KKLU,K LINE
35,11AR,FORTUNE SHIPPING
36,11AS,SANG THAI SHIPPING
37,11AT,OME
38,32PE,SINOR LINES
39,11AU,TRADE LINK ENGINEERING & TRADING PTE LTD
40,11AV,FAR SHIPPING (SINGAPORE)PTE LTD
41,11AW,SILKAGO SHIPPING LINE
42,11AX,WILHELMSEN SHIPS SERVISE PTE LTD
43,11AY,MIDWEST FREIGHT & TRANSPORTATION PTE LTD
44,11AZ,WONG SAMUT OCEAN SHIPPING CO LTD
45,11BA,RK SHIPPING & TRADING PTE LTD
46,11BB,G.LINK EXPRESS PTE LTD
47,11BC,F.H BERTLING CHARGERING AND SHIP MANAGEMENT PTE LTD
48,11BD,CHUN AN SHIPPING AHENCIES PTE LTD
49,11BE,KULNATEE CO LTD
50,11BF,MERIDIAN SHIPPING AGENCIES PTE LTD
