recid,Code,Name
1,10,"Length=10ft,height=8ft"
2,12,"Length=10ft,height=8ft and 6 Inches"
3,14,"Length=10ft,height=9ft"
4,15,"Length=10ft,height=9ft and 6 Inches"
5,16,"Length=10ft,height= >9ft and 6 Inches"
6,18,"Length=10ft,height=4ft and 6 Inches"
7,19,"Length=10ft,height= ?4ft and 6 Inches"
8,20,"Length=20ft,height=8ft"
9,22,"Length=20ft,height=8ft and 6 Inches"
10,24,"Length=20ft,height=9ft"
11,25,"Length=20ft,height=9ft and 6 Inches"
12,26,"Length=20ft,height= >9ft and 6 Inches"
13,28,"Length=20ft,height=4ft and 6 Inches"
14,29,"Length=20ft,height= ?4ft and 6 Inches"
15,40,"Length=40ft,height=8ft"
16,42,"Length=40ft,height=8ft and 6 Inches"
17,44,"Length=40ft,height=9ft"
18,45,"Length=40ft,height=9ft and 6 Inches"
19,46,"Length=40ft,height= >9ft and 6 Inches"
20,48,"Length=40ft,height=4ft and 6 Inches"
21,49,"Length=40ft,height= ?4ft and 6 Inches"
22,90,"Other,height=8ft"
23,92,"Other,height=8ft and 6 Inches"
24,94,"Other,height=9ft"
25,95,"Other,height=9ft and 6 Inches"
26,96,"Other,height= >9ft and 6 Inches"
27,98,"Other,height=4ft and 6 Inches"
28,99,"Other,height= ?4ft and 6 Inches"
