recid,Code,Import,Export,Transit,Name
1,EAUA,Import,,,AGRICULTURE USE EXEMPTION (Import)
2,EAUD,Import,,,AGRICULTURE USE EXEMPTION (Import)
3,EAUT,Import,,,AGRICULTURE USE EXEMPTION (Import)
4,RAUA,Import,,,AGRICULTURE USE REDUCTION (Import)
5,RAUD,Import,,,AGRICULTURE USE REDUCTION (Import)
6,RAUT,Import,,,AGRICULTURE USE REDUCTION (Import)
7,EDBA,Import,Export,,DRAWBACK AT EXEMPTION (ImportExport)
8,EDBT,Import,,,DRAWBACK CT EXEMPTION (Import)
9,EGOA,Import,Export,,GOVERNMENT ORGANIZATION/ AGENCY EXEMPTION (ImportExport)
10,EFZA,Import,,,IMPORT/EXPORT GOODS FOR FZB EXEMPTION (Import)
11,EFZD,Import,,,IMPORT/EXPORT GOODS FOR FZB EXEMPTION (Import)
12,EFZT,Import,,,IMPORT/EXPORT GOODS FOR FZB EXEMPTION (Import)
13,EPZD,Import,,,IMPORT/EXPORT GOODS FOR PZB EXEMPTION (Import)
14,EPZT,Import,,,IMPORT/EXPORT GOODS FOR PZB EXEMPTION (Import)
15,EPZA,Import,Export,,IMPORT/EXPORT GOODS FOR PZB EXEMPTION (ImportExport)
16,RPZD,Import,,,IMPORT/EXPORT GOODS FOR PZB REDUCTION (Import)
17,RPZT,Import,,,IMPORT/EXPORT GOODS FOR PZB REDUCTION (Import)
18,RPZA,Import,Export,,IMPORT/EXPORT GOODS FOR PZB REDUCTION (ImportExport)
19,EXMF,Import,Export,Transit,MACCS FEES EXEMPTION (ImportExportTransit)
20,REMF,Import,Export,Transit,MACCS FEES REDUCTION (ImportExportTransit)
21,EMCD,Import,,,MIC'S EXEMPTION (Import)
22,EMCT,Import,,,MIC'S EXEMPTION (Import)
23,EMCA,Import,Export,,MIC'S EXEMPTION (ImportExport)
24,EMFD,Import,,,MINISTRY OF PLANNING AND FINANCE EXEMPTION (Import)
25,EMFT,Import,,,MINISTRY OF PLANNING AND FINANCE EXEMPTION (Import)
26,RMFD,Import,,,MINISTRY OF PLANNING AND FINANCE REDUCTION (Import)
27,RMFT,Import,,,MINISTRY OF PLANNING AND FINANCE REDUCTION (Import)
28,EMFA,Import,Export,,MINISTRY OF PLANNING AND FINANCE EXEMPTION (ImportExport)
29,RMFA,Import,Export,,MINISTRY OF PLANNING AND FINANCE REDUCTION (ImportExport)
30,ENDD,Import,,,NGO DONATION EXEMPTION (Import)
31,ENDT,Import,,,NGO DONATION EXEMPTION (Import)
32,ENDA,Import,Export,,NGO DONATION EXEMPTION (ImportExport)
33,EOIA,Import,Export,,OFFICE INSTRUCTION (12/2016)-AT (ImportExport)
34,RTID,Import,,,PACKING MATERIALS (TI) REDUCTION (Import)
35,RTIT,Import,,,PACKING MATERIALS (TI) REDUCTION (Import)
36,RTIA,Import,Export,,PACKING MATERIALS (TI) REDUCTION (ImportExport)
37,EPED,Import,,,PERSONAL EFFECT ALLOWANCED (Import)
38,EPET,Import,,,PERSONAL EFFECT ALLOWANCED (Import)
39,EPEA,Import,Export,,PERSONAL EFFECT ALLOWANCED (ImportExport)
40,ERMD,Import,,,RAW MATERIALS FOR CMP (Import)
41,ERMT,Import,,,RAW MATERIALS FOR CMP (Import)
42,ERMA,Import,Export,,RAW MATERIALS FOR CMP (ImportExport)
43,RRMA,Import,Export,,RAW MATERIALS FOR CMP (ImportExport)
44,RRMD,Import,Export,,RAW MATERIALS FOR CMP (ImportExport)
45,RRMT,Import,Export,,RAW MATERIALS FOR CMP (ImportExport)
46,EREA,,Export,,RE-EXPORTATION (Export)
47,ERIA,Import,Export,,RE-IMPORTATION (ImportExport)
48,ERID,Import,Export,,RE-IMPORTATION (ImportExport)
49,ERIT,Import,Export,,RE-IMPORTATION (ImportExport)
50,ERRA,Import,Export,,REPAIR AND RETURN EXEMPTION (ImportExport)
51,ERRD,Import,Export,,REPAIR AND RETURN EXEMPTION (ImportExport)
52,ERRT,Import,Export,,REPAIR AND RETURN EXEMPTION (ImportExport)
53,EXSF,Import,Export,,SECURITY FEES EXEMPTION (ImportExport)
54,RESF,Import,Export,,SECURITY FEES REDUCTION (ImportExport)
55,ETID,Import,,,TEMPORARY IMPORTATION (Import)
56,ETIT,Import,,,TEMPORARY IMPORTATION (Import)
57,ETIA,Import,Export,,TEMPORARY IMPORTATION (ImportExport)
58,EXTD,,,Transit,TRANSIT DUTY EXEMPTION (Transit)
59,EXLA,Import,,,UNION TAX LAW EXEMPTION (Import)
60,EXLS,Import,,,UNION TAX LAW EXEMPTION (Import)
61,EXLT,Import,,,UNION TAX LAW EXEMPTION (Import)
62,RXLA,Import,,,UNION TAX LAW REDUCTION (Import)
63,RXLS,Import,,,UNION TAX LAW REDUCTION (Import)
64,RXLT,Import,,,UNION TAX LAW REDUCTION (Import)
