recid,Code,Check,Unit,Name
1,0101210000,3,U,"LIVE HORSES, ASSES, MULES AND HINNIES.HORSES:PURE-BRED BREEDING ANIMALS"
2,0101290000,0,U,"LIVE HORSES, ASSES, MULES AND HINNIES.HORSES:OTHER"
3,0101301000,3,U,"LIVE HORSES, ASSES, MULES AND HINNIES.ASSES: PURE-BRED BREEDING ANIMALS"
4,0101309000,2,U,"LIVE HORSES, ASSES, MULES AND HINNIES.ASSES: OTHER"
5,0101900000,6,U,"LIVE HORSES, ASSES, MULES AND HINNIES.OTHER"
6,0102210000,4,U,LIVE BOVINE ANIMALS.CATTLE: PURE-BRED BREEDING ANIMALS
7,0102291000,0,U,LIVE BOVINE ANIMALS.CATTLE:OTHER:MALE CATTLE (INCLUDING OXEN)
8,0102299000,6,U,LIVE BOVINE ANIMALS.CATTLE:OTHER:OTHER
9,0102310000,2,U,LIVE BOVINE ANIMALS.BUFFALO:PURE-BRED BREEDING ANIMALS
10,0102390000,6,U,LIVE BOVINE ANIMALS.BUFFALO:OTHER
11,0102901000,6,U,LIVE BOVINE ANIMALS.OTHER:PURE-BRED BREEDING ANIMALS
12,0102909000,5,U,LIVE BOVINE ANIMALS.OTHER:OTHER
13,0103100000,3,U,LIVE SWINE.PURE-BRED BREEDING ANIMALS
14,0103910000,5,U,LIVE SWINE.OTHER:WEIGHING LESS THAN 50 KG
15,0103920000,2,U,LIVE SWINE.OTHER:WEIGHING 50 KG OR MORE
16,0104101000,3,U,LIVE SHEEP AND GOATS.SHEEP: PURE-BRED BREEDING ANIMALS
17,0104109000,2,U,LIVE SHEEP AND GOATS.SHEEP:OTHER
18,0104201000,1,U,LIVE SHEEP AND GOATS.GOATS:PURE-BRED BREEDING ANIMALS
19,0104209000,0,U,LIVE SHEEP AND GOATS.GOATS:OTHER
20,0105111000,1,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: FOWLS OF THE SPECIES GALLUS DOMESTICUS:BREEDING FOWLS"
21,0105119000,0,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER"
22,0105121000,5,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: TURKEYS:BREEDING TURKEYS"
23,0105129000,4,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:TURKEYS:OTHER"
24,0105131000,2,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: DUCKS: BREEDING DUCKLINGS"
25,0105139000,1,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: DUCKS:OTHER"
26,0105141000,6,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:GEESE:BREEDING GOSLINGS"
27,0105149000,5,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G: GEESE:OTHER"
28,0105151000,3,U,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:GUINEA FOWLS:BREEDING GUINEA FOWLS"
