recid,Code,Name
1,T1,"SALES,COMMISSION,SAMPLE,LEASING"
2,T2,"RETURN,REPLACEMENT OF GOODS (FOC)"
3,T3,"AID WITHOUT CONSIDERING FINANCE,DONATION"
4,T4,WITH PROCESSING OR CONTRACTOR REPAIR
5,T5,AFTER PROCESSING OR CONTRACTOR REPAIR
6,T6,"HIRE, LOAN, LEASE (TEMPORARY USES)"
7,T7,CONSTRUCTION MATERIALS(GENERAL CONTRACT)
8,T8,OTHER TRANSACTIONS
9,M1,"SALES,COMMISSION,SAMPLE,LEASING(MIC)"
10,M2,"RETURN,REPLACEMENT OF GOODS (FOC)"
11,M3,"AID WITHOUT CONSIDERING FINANCE,DONATION-MIC"
12,M4,WITH PROCESSING OR CONTRACTOR REPAIR-MIC
13,M5,AFTER PROCESSING/CONTRACTOR REPAIR-MIC
14,M6,"HIRE, LOAN, LEASE (TEMPORARY USES)(MIC)"
15,M7,CONSTRUCTION MATERIALS(GENERAL CONTRACT)-MIC
16,M8,OTHER TRANSACTIONS(MIC)
17,F1,"SALES,COMMISSION,SAMPLE,LEASING(FIC)"
18,F2,"RETURN,REPLACEMENT OF GOODS (FOC)"
19,F3,"AID WITHOUT CONSIDERING FINANCE,DONATION-FIC"
20,F4,WITH PROCESSING OR CONTRACTOR REPAIR-FIC
21,F5,AFTER PROCESSING/CONTRACTOR REPAIR-FIC
22,F6,"HIRE, LOAN, LEASE (TEMPORARY USES)(FIC)"
23,F7,CONSTRUCTION MATERIALS(GENERAL CONTRACT)-FIC
24,F8,OTHER TRANSACTIONS(FIC)
