recid,Code,Name
1,PEC,PACKAGES ELEMENTS CORRECTION 
2,CHG,CHANGE OF VESSEL OR FLIGHT
3,CAN,CANCEL OF VESSEL OR FLIGHT
4,NSP,NOT ENOUGH SPACE TO LOAD THE CARGO
5,WEC,WEIGHT ELEMENTS CORRECTION
6,MTP,MISTYPE OF A DECLARATION DOCUMENT
7,FOB,FOB PRICE ELEMENTS CORRECTION
8,IVP,INVOICE PRICE ELEMENTS CORRECTION
9,CCC,CALCULATION CORRECTION
10,PDM,PART OF THE CARGO IS DAMAGED
11,CIR,CIRCUMSTANCES OF THE CARRIER
12,LLC,LOADING LOCATION CODE
13,EDD,ESTIMATED DATE OF DEPARTURE
14,VNP,VANNING PLACE ELEMENTS CORRECTION
15,OTH,OTHER REASON
