recid,IMO,Carrier,Name
1,9137129,11AA,MV.KOTA HASIL
2,9135092,11AA,MV.KOTA HARTA
3,9159086,11AB,MV.MAENAM-1
4,9366445,11AB,MV.ASIATIC CLOUD
5,8910093,11AD,MV.YANGON STAR
6,9132399,11AD,MV.MOROTAI
7,9003471,11AF,MV.SSL TRUST
8,9165803,11AG,MV.AYSAN
9,9270658,11AG,MV.SHAMIM
10,9270646,11AG,MV.SHIBA
11,9519195,11AM,MV.POVAVOSA BRAVE
12,9629471,11AM,MV.DYNAMIC OCEAN 02
13,9510577,11AP,MT.GSW ADVENTURE
14,9181871,11AP,MT.AUVIRGO
15,9545467,11AP,MV.EASTERN RUBY
16,9342762,11AP,MV.JIN SHENG
17,9342762,11AP,MV.JIAN SHENG
18,9506734,11AP,MV.ERIS J
19,9488578,11AP,MV.ENDEAVOUR STRAIT
20,9214549,11AP,MV.ATLANTIS PRIDE
21,9003134,11AR,MV.DELPHINUS
22,9421295,11AU,MT.VEST HOLMEN
23,9568158,11AU,MT.FENG HAI 10
24,9512111,11AU,MT.BTS CAPELLA
25,9421283,11AU,MT.GSW FUTURE
26,9434084,11AU,MT.CHULAN-1
27,9416094,11AU,MT.CARAGGEAN ORCHID
28,9181742,11AW,MV.SINAR BALI
29,8627567,11AY,MV.MIDWEST ANGELA II
30,9187801,11AZ,MV.BANGPAKAEW
31,8114766,11AZ,MV.BANGKACHAI
32,7903031,11AZ,MV.BANGSAOTONG
33,9573268,11BA,MV.DYNAMIC OCEAN 09
34,9371127,11BA,MV.AQUAMARINE
35,9122875,11BB,MV.TAN BINH 39
36,9236858,11BB,MV.TAN BINH 134
37,9647382,11BB,MV.THAI BINH 688
38,9569918,11BB,MV.PHUONG NAM 68
39,8918409,11BD,MV.KORALIA
40,9407536,11BD,MV.BULK CHILE
41,9603946,11BD,MV.DANCE FLORA SW
42,9588586,11BD,MV.CALIMERO
43,9428401,11BD,MV.DONGTAI BAOZE
44,3FTV3,11BD,MV.TEAL BULKER
45,9455648,11BD,MV.JPO DELPHENUS 
46,9603075,11BD,MV.DYNASTY XIA
47,9151034,11BE,MV.KULNATEE
48,9160970,11BE,MV.KULTHARA
49,9119438,11BE,MV.KULSAMUT
50,9577288,11BF,MV.UBC CHILE
51,9577276,11BF,MV.UBC CYPRUS
52,9118329,11BG,MV.ANTONE
53,9412634,11BG,MV.KAMARI
54,9718131,11BH,MV.TOMINI HARMONY
55,9490715,11BH,MV.ILIANA
56,9708174,11BH,MV.HUA YANG LILY
57,9304095,11BH,MV.ADMIRAL SCHMIDT
58,9487407,11BH,MV.PAN PRIDE
59,9727182,11BH,MV.LOWLAND HOPE
60,9603075,11BH,MV.MAPLE RUBY
61,9367578,11BM,MV.LORD VISHINU 
62,9053505,11BM,MV.KAIJIN
63,9070462,11BN,MV.ASIAN BEAUTY
64,9183477,11BP,MT.GREAT SAILOR
65,9480502,11BP,MT.GLORY OCEAN
66,9214044,11BP,MT.GLOVAL VIKA
67,9434101,11BP,MT.CHULAN 3
68,9460540,11BP,MT.GAEA
69,9463528,11BP,MT.GLORY STAR
70,9321639,11BP,MT.DONG A PONTUS
71,9259719,11BP,MT.BRO COMBO
72,9451393,11BP,MT.DONG A IRIS
73,9361457,11BP,MT.AULAC VISION
74,1739467,11BP,MT.LOYAL PEGASUS
75,9434096,11BP,MT.CHULAN 2
76,9452816,11BP,MT.DONG A PENEUS
77,9507166,11BP,MT.AULAC JUPITER
78,9249594,11BP,MT.GLOBAL AKER
79,9452804,11BP,MT.EA SIRIUS
80,9541277,11BP,MT.AULAC FORTUNE
81,9498121,11BP,MT.POLARIS
82,9443061,11BP,MT.PRECEDENCE
83,9367449,11BP,MT.ROYAL PERIDOT
84,9422859,11BP,MT.OCEAN HAWK
85,9571674,11BP,MT.FANG CHENG GHANG
86,9620279,11BR,MT.SOUTHERNPEC 12
87,9332418,11BS,MT.NEW STAR
88,9705940,11BX,MT.SK LINE 1
89,8619118,11BX,MT.AIM
90,9114658,11BX,MT.CHO ANOMA
91,9065077,11BX,MT.PRIMOSE
92,9260495,11BX,MT.MESON
93,9209001,11BX,MT.ARIN 8
94,9186912,11BX,MT.AU GEMINI
95,9619696,11BX,MT.SEA DREAM
96,9211664,11BX,MT.CP 38
97,9117789,11DO,MV.HONG DE
98,9WBY2,11DV,TUG:BONIA STAR 21
99,YJVV5,11FK,MV.D'SOUZA TIDE
100,3FBF7,11FL,MV.LEWEK HYDRA
101,9VCM3,11FL,MV.LEWEK HARRIER
102,9146649,11HE,MV.SENTOSA STAR
103,9081019,11HE,MV.OEL MALAYSIA
104,9122033,11HE,MV.CRESCO
105,9117193,11HF,MV.INLE STAR
106,9055450,11HI,MV.GSS YANGON
107,8909082,11HI,MV.NINOS
108,9106883,11HI,MV.ANAN BHUM
109,9324162,11HI,MV.CAPE FLORES
110,9055448,11HI,MV.KUO HSIUNG
111,9151761,11HK,MT.HE XIE HAO
112,9109524,11TP,MV.U THAR
113,9544865,11TP,MV.HAN THAR
114,9558452,11TP,MV.HAN LINN
115,9158135,11TP,MV.KENGTUNG
116,9158123,11TP,MV.DAWEI
117,8406808,11TP,MV.MAGWAY
118,8406793,11TP,MV.SAGAING
119,9032288,11TP,MV.COCO GYUN
120,8920153,11TP,MV.MAAN AUNG
121,8902826,11TP,MV.KYAUK PYU
122,9015797,11TP,MV.YAAN BYAE
123,9011040,11TP,MV.THAMEE HLA
124,9378943,12AT,MV.MAX CRUSADER
125,9132703,12AT,MV.WEST SCENT
126,9113094,12SC,MT.FLY SEAL
127,9075424,12SC,MT.OCEAN COUGER
128,9075400,12SC,MT.OCEAN CHEETAH
129,9126895,12SC,MT.FLY MARLIN
130,9422847,12SC,MT.OCEAN LARK
131,9358802,12SC,MT.INTAN PREMIER
132,9402811,12SC,MT.OCEAN PREMIER
133,9451408,12SC,MT.DONG A CALYPSO
134,9123881,12SC,MT.FLY GURNARD
135,9402823,12SC,MT.OCEAN HERO
136,9402847,12SC,MT.OCEAN PROGRESS
137,9341342,12SC,MT.SUPER INFINITY
138,9075395,12SC,MT.OCEAN LYNX
139,9117129,12WW,MV.RATANA THIDA
140,9101510,12WW,MV.INNWA STAR
141,9106895,12WW,MV.BANI BHUM
142,9046423,12WW,MV.YANTRA BHUM
143,9072525,12WW,MV.YOSSA BHUM
144,9046411,12WW,MV.XETHA BHUM
145,9064762,12WW,MV.PATHEIN STAR
146,9110949,12WW,MV.HUNSA BHUM
147,9101560,13BD,MV.HIJAU SAMUDRA
148,9202792,13BD,MV.SINAR SOLO
149,9371098,13BD,MV.SINAR BANDA
150,9464235,31KH,MV.HAI WANG XING
151,9086966,31KH,MV.YU HUA
152,9472086,31KH,MV.SOFIA
153,9452567,31KH,MV.YUAN JIAN
154,9188805,32KR,MV.MODERN PEAK
155,8508917,32KR,MV.SALZGITTER
156,8511263,32KR,MV.GOLDEN FAN
157,9177038,32KR,MV.NOCC PAMPLONA
158,9442122,32KR,MV.LE MANS EXPRESS
159,9427940,32KR,MV.PAGLIA
160,8507664,32PE,MV.CITY OF MUMBAI
161,8507652,32PE,MV.HOUGH CHENNAI
162,9081007,CVAU,MV.IRRAWADDY STAR
163,9072109,CVAU,MV.DAWEI STAR
164,9101508,CVAU,MV.PINYA STAR
165,9427562,ECLR,MV.SPRING WIND
166,9157442,ECLR,MV.BRIGHT STATE
167,9427550,ECLR,MV.SPRING SKY
168,9172935,ECLR,MV.DEL SO
169,9481049,ECLR,MV.VIKING AMBER
170,9309863,ECLR,MV.CSC CHONE HAI
171,9266152,ECLR,MV.SEIYO HARMONY
172,9481075,ECLR,MV.VIKING DIAMOND
173,HPLB,ECLR,MV.NOBLE SW
174,9159024,ECLR,MV.SEIYO SAPPHIRE
175,9130509,EGLV,MV.EVER ABLE
176,9130523,EGLV,MV.EVER APEX
177,9130511,EGLV,MV.EVER ALLY
178,9235426,KKLU,MV. MAKASSAR HIGHWAY
179,9235414,KKLU,MV.MALACCA HIGHWAY
180,9434802,MCPU,MV.FRISIA ILLER
